time,mean_precipitation_rate,sur_air_temp,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-07-13,0.0,21.7875004,11.875,-8.52499962,22.3500004
2020-07-14,0.0,22.2875004,12.0859375,6.2249999,25.2250004
2020-07-15,0.0,22.2875004,12.0859375,-30.0249996,28.6625004
2020-07-16,16.8649998,22.2875004,12.0859375,-36.9000015,28.6625004
2020-07-17,16.8349991,23.1000004,12.9609375,17.2875004,26.5375004
2020-07-18,0.0,23.1000004,12.9609375,-61.4312515,24.8500004
2020-07-19,2.72000003,29.0375004,16.390625,-50.2750015,31.7250004
2020-07-20,0.0850000009,23.4750004,13.671875,-9.96249962,26.7250004
2020-07-21,0.0,22.9125004,11.421875,-16.7124996,27.6625004
2020-07-22,5.77499962,22.9125004,11.421875,-20.9624996,22.1625004
2020-07-23,0.764999986,22.9125004,11.421875,12.8500004,25.6625004
2020-07-24,0.0,24.6625004,12.40625,16.4125004,27.4750004
2020-07-25,0.0,24.6625004,12.40625,16.4125004,27.4750004
2020-07-26,0.0,23.6625004,16.609375,-18.2124996,28.4750004
2020-07-27,0.850000024,27.9125004,17.65625,-9.02499962,29.1625004
2020-07-28,11.8600006,22.8500004,9.421875,-16.0874996,28.3500004
2020-07-29,4.57499981,24.4125004,13.8046875,-9.89999962,26.5375004
2020-07-30,0.149999991,22.7875004,11.0,-19.2124996,26.7250004
2020-07-31,0.0,23.7875004,11.1484375,-8.39999962,28.2250004
2020-08-01,0.0,24.5375004,10.7578125,-37.9312515,26.7875004
2020-08-02,4.03999996,24.6000004,15.90625,7.2874999,27.3500004
2020-08-03,0.0,21.8500004,12.5546875,-12.5249996,25.4750004
2020-08-04,62.0049934,21.8500004,12.5546875,-43.3687515,25.4750004
2020-08-05,0.0299999993,19.2250004,9.8046875,-2.6500001,24.4125004
2020-08-06,0.0,19.6000004,9.4140625,-18.9312496,25.1625004
2020-08-07,0.00499999989,21.8500004,12.7890625,0.912500024,26.5375004
2020-08-08,0.0,23.4750004,12.546875,4.4749999,26.8500004
2020-08-09,0.0,26.5375004,12.8515625,5.2874999,26.0375004
2020-08-10,0.0,26.5375004,12.8515625,5.2874999,26.0375004
2020-08-11,1.99999988,25.2875004,16.234375,-11.8374996,26.5375004
2020-08-12,0.0,23.6625004,11.6640625,-44.4312515,28.1000004
2020-08-13,0.0,24.9125004,13.2265625,-1.46249998,28.9750004
2020-08-14,0.0,24.6000004,12.28125,11.3500004,28.4125004
2020-08-15,0.0899999961,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-16,0.0699999928,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-17,0.0749999955,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-18,1.81499982,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-19,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-20,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-21,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-22,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-23,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-24,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-25,26.4849987,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-26,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-27,22.8099995,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-28,0.170000002,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-29,8.81499958,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-30,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-08-31,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-09-01,0.0,24.6000004,12.28125,-6.2750001,28.7875004
2020-09-02,4.63499928,24.6000004,12.28125,-6.2750001,28.7875004
2020-09-03,0.359999985,20.2250004,11.59375,-39.8375015,23.9750004
2020-09-04,0.0,17.7875004,7.546875,-32.9000015,22.9125004
2020-09-05,0.534999967,17.1000004,8.859375,-14.9624996,22.2875004
2020-09-06,0.0,18.4750004,8.25,-28.1499996,22.8500004
2020-09-07,0.579999983,20.0375004,13.9609375,-51.6812515,24.6000004
2020-09-08,0.0,23.6625004,14.015625,-34.5250015,24.8500004
2020-09-09,0.0,26.2250004,14.8828125,21.3500004,27.4125004
2020-09-10,0.0,17.7250004,11.4921875,-1.46249998,18.5375004
2020-09-11,1.42999995,17.7250004,11.4921875,-1.46249998,18.5375004
2020-09-12,0.0,21.0375004,10.828125,-25.2124996,23.3500004
2020-09-13,9.91499996,22.0375004,13.1484375,-35.9937515,19.8500004
2020-09-14,0.0,15.0375004,6.2109375,-15.9624996,18.9125004
2020-09-15,0.0,16.6000004,7.37890625,-33.7750015,19.8500004
2020-09-16,0.0,20.9750004,8.921875,5.0999999,22.2250004
2020-09-17,0.0,17.1000004,8.625,5.2874999,20.6625004
2020-09-18,0.0,17.1000004,8.625,-55.7437515,17.6000004
2020-09-19,0.0,12.6625004,5.19921875,-22.4624996,17.7250004
2020-09-20,0.0,13.7875004,5.25390625,-54.9625015,19.3500004
2020-09-21,0.0,16.3500004,5.78125,9.53750038,20.7875004
2020-09-22,0.0,18.1000004,8.1796875,15.5375004,20.2250004
2020-09-23,0.0,17.9125004,9.484375,-8.02499962,21.9750004
2020-09-24,0.855000019,19.2875004,9.4765625,-32.4625015,23.7875004
2020-09-25,0.0,22.6000004,10.8359375,17.9125004,23.2875004
2020-09-26,0.0,20.7875004,12.0390625,-23.7124996,26.1000004
2020-09-27,0.0,20.7875004,12.0390625,-23.7124996,26.1000004
2020-09-28,0.00999999978,21.6625004,12.6796875,2.7249999,25.3500004
2020-09-29,13.915,21.6625004,12.6796875,-31.4937496,25.3500004
2020-09-30,21.289999,21.6625004,12.6796875,-15.9624996,14.9750004
2020-10-01,0.179999992,12.2250004,6.9296875,-12.5249996,17.7250004
2020-10-02,0.0,11.6000004,6.9609375,-6.9625001,14.0375004
2020-10-03,0.0,10.2875004,5.328125,-12.3374996,16.7875004
2020-10-04,0.779999971,10.2875004,5.328125,-15.5874996,23.9125004
2020-10-05,0.314999998,12.2875004,7.24609375,-3.6500001,15.1625004
2020-10-06,0.0,14.9125004,7.76953125,-2.5875001,19.1000004
2020-10-07,13.6300011,15.1000004,7.3828125,-20.1812496,16.6625004
2020-10-08,0.0,12.2875004,4.96484375,-5.9000001,16.2875004
2020-10-09,0.0,15.2875004,7.44140625,4.5374999,17.9125004
2020-10-10,0.00999999978,20.6625004,10.28125,-5.9000001,21.2250004
2020-10-11,0.654999971,14.1000004,6.703125,-44.0562515,15.9125004
2020-10-12,0.310000002,15.5375004,10.0234375,7.3499999,16.4125004
2020-10-13,1.27499998,15.5375004,10.0234375,7.3499999,16.4125004
2020-10-14,0.0,13.2875004,6.06640625,-23.2749996,17.2875004
2020-10-15,1.49000001,17.2250004,8.328125,-7.0250001,22.8500004
2020-10-16,13.1500015,17.2250004,8.328125,-39.2125015,22.8500004
2020-10-17,0.0,10.2875004,4.171875,-17.7749996,15.9125004
2020-10-18,0.344999969,10.2875004,4.171875,-43.8062515,15.1000004
2020-10-19,21.9449997,10.2875004,4.171875,-52.1187515,15.1000004
2020-10-20,8.63500023,10.2875004,4.171875,-26.6499996,9.03750038
2020-10-21,1.9000001,14.9750004,4.171875,-40.9625015,7.9124999
2020-10-22,2.13999987,14.9750004,4.171875,-4.2125001,8.91250038
2020-10-23,0.0,19.9750004,11.6953125,6.2249999,22.4125004
2020-10-24,0.210000008,19.9750004,11.6953125,-1.46249998,12.4125004
2020-10-25,0.0,9.72500038,5.16796875,-24.5249996,11.9125004
2020-10-26,0.49999997,9.72500038,5.16796875,-6.4000001,11.9125004
2020-10-27,3.07000017,9.72500038,5.16796875,-19.3687496,11.9125004
2020-10-28,0.0449999981,8.97500038,6.078125,-1.52499998,8.60000038
2020-10-29,18.8650017,8.97500038,6.078125,-1.52499998,8.60000038
2020-10-30,2.42000008,4.9124999,3.50390625,-7.9625001,9.22500038
2020-10-31,0.0,8.16250038,4.01953125,-2.7125001,11.8500004
2020-11-01,2.29999995,8.16250038,4.01953125,-20.3999996,11.8500004
2020-11-02,0.0149999997,0.474999994,3.046875,-24.8999996,0.224999994
2020-11-03,2.03999996,4.5374999,3.046875,-30.8062496,-5.5250001
2020-11-04,0.0850000009,15.9125004,7.19140625,-3.9625001,16.1000004
2020-11-05,0.0,15.9125004,7.19140625,-33.7125015,18.2250004
2020-11-06,0.0299999993,15.9125004,7.19140625,-13.2749996,19.1625004
2020-11-07,0.0,15.9125004,7.19140625,-36.8687515,19.9750004
2020-11-08,0.0,17.2875004,6.49609375,12.5375004,16.7875004
2020-11-09,0.0,17.2875004,6.49609375,-21.3374996,21.9125004
2020-11-10,0.0,17.1000004,7.97265625,-23.3999996,18.3500004
2020-11-11,12.4049988,17.1000004,7.97265625,-23.2749996,6.9749999
2020-11-12,0.0,17.1000004,7.97265625,-32.0875015,10.6625004
2020-11-13,0.0,9.85000038,5.3203125,-14.0874996,11.2875004
2020-11-14,0.0,9.85000038,5.3203125,-14.0874996,11.2875004
2020-11-15,8.21500015,9.85000038,5.3203125,-27.2749996,11.2875004
2020-11-16,0.0,9.85000038,5.3203125,-11.7749996,11.2875004
2020-11-17,0.0850000009,-0.712499976,2.20507812,-26.0874996,-4.2750001
2020-11-18,0.0,0.349999994,2.19335938,-12.5874996,6.8499999
2020-11-19,1.36499989,11.9750004,6.890625,-43.6812515,9.66250038
2020-11-20,2.83999991,11.9750004,6.890625,-21.7437496,12.5375004
2020-11-21,0.0,11.9750004,6.890625,-15.8999996,12.5375004
2020-11-22,3.13499975,2.3499999,6.890625,-28.3999996,-10.3374996
2020-11-23,16.5,2.3499999,6.890625,-17.9937496,-10.3374996
2020-11-24,0.0,3.5374999,2.99609375,-9.14999962,5.4749999
2020-11-25,11.3249998,6.3499999,5.7421875,-42.6500015,1.72500002
2020-11-26,18.4399986,5.7249999,5.7421875,-5.9000001,3.2249999
2020-11-27,0.0,5.7249999,5.7421875,-24.1812496,3.2249999
2020-11-28,0.0,5.7249999,5.7421875,-8.02499962,7.8499999
2020-11-29,0.0700000003,6.8499999,4.5234375,-16.9624996,9.91250038
2020-11-30,13.0400009,6.8499999,4.5234375,-16.9624996,9.91250038
2020-12-01,0.0,6.8499999,4.5234375,-19.1187496,9.91250038
2020-12-02,0.00999999978,6.8499999,4.5234375,-20.9937496,-10.2124996
2020-12-03,0.0,3.5374999,3.76953125,-16.6499996,4.4124999
