time, AIRS3STD_7_0_SurfAirTemp_A
2021-09-14,-9999.0
2021-09-15,-9999.0
2021-09-16,19.4125004
2021-09-17,22.0375004
2021-09-18,19.2250004
2021-09-19,18.7250004
2021-09-20,21.2875004
2021-09-21,-9999.0
2021-09-22,-9999.0
2021-09-23,-9999.0
2021-09-24,14.7250004
2021-09-25,18.6000004
2021-09-26,15.6625004
2021-09-27,18.8500004
2021-09-28,15.7250004
2021-09-29,15.6625004
2021-09-30,-9999.0
2021-10-01,15.2250004
2021-10-02,18.5375004
2021-10-03,16.1625004
2021-10-04,15.0375004
2021-10-05,15.7250004
2021-10-06,16.3500004
2021-10-07,-9999.0
2021-10-08,19.5375004
2021-10-09,-9999.0
2021-10-10,19.2250004
2021-10-11,21.0375004
2021-10-12,21.1000004
2021-10-13,20.7250004
2021-10-14,19.3500004
2021-10-15,17.0375004
2021-10-16,-9999.0
2021-10-17,10.7875004
2021-10-18,-9999.0
2021-10-19,14.6625004
2021-10-20,16.9750004
2021-10-21,16.2250004
2021-10-22,-9999.0
2021-10-23,-9999.0
2021-10-24,11.5375004
2021-10-25,13.8500004
2021-10-26,-9999.0
2021-10-27,12.8500004
2021-10-28,12.7875004
2021-10-29,11.2875004
2021-10-30,-9999.0
2021-10-31,-9999.0
2021-11-01,-9999.0
2021-11-02,6.8499999
2021-11-03,5.1624999
2021-11-04,6.0999999
2021-11-05,-9999.0
2021-11-06,8.16250038
2021-11-07,12.7250004
2021-11-08,12.9125004
2021-11-09,11.7875004
2021-11-10,-9999.0
2021-11-11,9.85000038
2021-11-12,8.10000038
2021-11-13,3.6624999
2021-11-14,6.3499999
2021-11-15,4.5999999
2021-11-16,1.78750002
2021-11-17,-9999.0
2021-11-18,-9999.0
2021-11-19,-9999.0
2021-11-20,5.5374999
2021-11-21,6.4124999
2021-11-22,-9999.0
2021-11-23,0.100000001
2021-11-24,7.1624999
2021-11-25,8.53750038
2021-11-26,-9999.0
2021-11-27,1.16250002
2021-11-28,-9999.0
2021-11-29,1.53750002
2021-11-30,-9999.0
2021-12-01,6.0374999
2021-12-02,4.2874999
2021-12-03,-9999.0
2021-12-04,0.224999994
2021-12-05,1.72500002
2021-12-06,-9999.0
2021-12-07,-9999.0
2021-12-08,-1.64999998
2021-12-09,2.7874999
2021-12-10,-9999.0
2021-12-11,-9999.0
2021-12-12,4.3499999
2021-12-13,5.9124999
2021-12-14,-9999.0
2021-12-15,-9999.0
2021-12-16,-9999.0
2021-12-17,-9999.0
2021-12-18,-9999.0
2021-12-19,-9999.0
2021-12-20,2.1624999
2021-12-21,6.0999999
2021-12-22,-0.587499976
2021-12-23,-2.6500001
2021-12-24,2.2249999
2021-12-25,4.5999999
2021-12-26,-9999.0
2021-12-27,-1.52499998
2021-12-28,-9999.0
2021-12-29,1.85000002
2021-12-30,4.4124999
2021-12-31,2.4749999
2022-01-01,-9999.0
2022-01-02,-9999.0
2022-01-03,-1.27499998
2022-01-04,-9999.0
2022-01-05,1.53750002
2022-01-06,-9999.0
2022-01-07,-4.5875001
2022-01-08,-1.71249998
2022-01-09,5.4124999
2022-01-10,-5.8375001
2022-01-11,-10.3999996
2022-01-12,-0.649999976
2022-01-13,-9999.0
2022-01-14,-2.0250001
2022-01-15,-10.2124996
2022-01-16,-3.6500001
2022-01-17,-4.5250001
2022-01-18,-4.0250001
2022-01-19,-1.96249998
2022-01-20,-9999.0
2022-01-21,-6.8375001
2022-01-22,-3.7750001
2022-01-23,-10.7124996
2022-01-24,-8.08749962
2022-01-25,-4.8375001
2022-01-26,-7.7750001
2022-01-27,-0.462500006
2022-01-28,-5.7125001
2022-01-29,-7.0250001
2022-01-30,-5.2750001
