time,mean_precipitation_rate,sur_air_temp,relative_humidity,albedo_500,H2O_vapor_mass_ratio,H2O_vapor_mass_ratio_surf,cloud_temp,surf_temp
2020-03-11,0.00999999978,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-40.7750015,-9999.0
2020-03-12,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-10.4624996,12.4750004
2020-03-13,3.18499994,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-12.2124996,-9999.0
2020-03-14,0.0,3.2874999,-9999.0,-1.267651e+30,-9999.0,3.61328125,-42.4000015,7.7874999
2020-03-15,0.0,0.162499994,75.5,0.896300018,2.44140625,2.8203125,-23.5562496,5.5999999
2020-03-16,0.0,3.9124999,61.0,-1.267651e+30,2.98828125,3.05859375,-46.6500015,7.2249999
2020-03-17,0.00499999989,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-5.7750001,-9999.0
2020-03-18,0.0,3.6624999,95.5,-1.267651e+30,4.7109375,4.73828125,-35.8062515,0.725000024
2020-03-19,6.75500011,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-03-20,13.2249985,15.7250004,-9999.0,-1.267651e+30,-9999.0,9.328125,-39.2437515,-9999.0
2020-03-21,0.0,-1.33749998,73.0,0.896700025,2.04101562,2.18554688,-31.2124996,7.8499999
2020-03-22,0.0,1.35000002,59.5,0.949000001,2.19140625,2.45703125,-2.4625001,5.9124999
2020-03-23,7.57500029,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-45.7125015,-9999.0
2020-03-24,0.0,4.6624999,69.5,-1.267651e+30,3.453125,3.54296875,-8.02499962,3.3499999
2020-03-25,0.900000036,8.28750038,62.5,-1.267651e+30,4.35546875,4.37109375,-19.0249996,5.5999999
2020-03-26,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-03-27,1.08500004,5.9749999,83.0,-1.267651e+30,4.1796875,3.29296875,-2.6500001,12.1000004
2020-03-28,8.33500004,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-25.9624996,1.66250002
2020-03-29,22.5749989,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-14.5249996,8.47500038
2020-03-30,2.04499984,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-16.2124996,-9999.0
2020-03-31,1.13999999,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-5.5250001,1.53750002
2020-04-01,0.0,5.6624999,69.0,-1.267651e+30,3.96679688,3.984375,-5.5875001,8.41250038
2020-04-02,0.0,-9999.0,-9999.0,0.935400009,-9999.0,-9999.0,-9999.0,-9999.0
2020-04-03,4.375,10.4750004,93.0,-1.267651e+30,7.36328125,7.44921875,-11.2749996,1.85000002
2020-04-04,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-04-05,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-4.1500001,12.7875004
2020-04-06,0.0,9.60000038,-9999.0,0.905300021,-9999.0,2.9375,-4.4625001,12.7250004
2020-04-07,0.419999957,11.7250004,-9999.0,0.937399983,-9999.0,4.05078125,-38.7750015,14.2875004
2020-04-08,5.38000011,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-5.7125001,-9999.0
2020-04-09,3.44999981,3.0374999,-9999.0,-1.267651e+30,-9999.0,3.90234375,-13.4624996,4.4749999
2020-04-10,0.0949999988,1.10000002,-9999.0,-1.267651e+30,-9999.0,2.65625,-21.3687496,1.97500002
2020-04-11,0.0,2.8499999,78.0,0.933399975,3.6015625,2.8046875,-19.9312496,9.22500038
2020-04-12,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-14.8999996,-9999.0
2020-04-13,22.0499992,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-45.6812515,-9999.0
2020-04-14,1.81499982,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-29.1187496,8.97500038
2020-04-15,0.514999986,0.725000024,70.5,-1.267651e+30,3.171875,2.4609375,-20.8374996,5.1624999
2020-04-16,0.329999983,2.2249999,46.25,0.940199971,2.125,2.30664062,-21.5249996,7.2874999
2020-04-17,0.194999993,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-38.6812515,3.5999999
2020-04-18,0.144999996,5.4124999,-9999.0,0.966099977,-9999.0,3.69335938,-17.0249996,8.91250038
2020-04-19,6.56000042,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-20.4937496,-9999.0
2020-04-20,0.0,-9999.0,-9999.0,0.912199974,-9999.0,-9999.0,-9999.0,-9999.0
2020-04-21,2.67499995,4.2874999,-9999.0,0.92900002,-9999.0,3.1640625,-16.5874996,7.8499999
2020-04-22,0.0,1.22500002,-9999.0,0.975899994,-9999.0,2.06640625,-26.5249996,10.0375004
2020-04-23,1.01499999,7.5999999,63.5,0.887399971,4.1640625,3.94140625,-13.9624996,7.5999999
2020-04-24,4.33999968,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-12.9624996,-9999.0
2020-04-25,0.349999994,8.03750038,84.0,0.914099991,4.71875,4.328125,-39.1812515,17.2250004
2020-04-26,18.5299969,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-33.3687515,-9999.0
2020-04-27,4.32999992,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-30.5874996,-9999.0
2020-04-28,0.0,7.7249999,70.5,-1.267651e+30,4.46875,4.66796875,-14.4624996,19.5375004
2020-04-29,2.57999992,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-37.3687515,-9999.0
2020-04-30,26.9149971,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-40.3375015,-9999.0
2020-05-01,11.9249983,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-8.08749962,17.2250004
2020-05-02,1.88,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-22.9312496,18.1625004
2020-05-03,1.01999998,18.2875004,-9999.0,-1.267651e+30,-9999.0,6.203125,1.85000002,22.4750004
2020-05-04,0.410000026,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-15.5249996,-9999.0
2020-05-05,0.0,8.72500038,-9999.0,-1.267651e+30,-9999.0,2.609375,-25.6499996,12.9125004
2020-05-06,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-9999.0,-9999.0
2020-05-07,2.15999985,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-18.5562496,8.28750038
2020-05-08,0.649999976,1.03750002,-9999.0,-1.267651e+30,-9999.0,2.9140625,-31.5562496,-9999.0
2020-05-09,0.504999995,2.2249999,-9999.0,-1.267651e+30,-9999.0,3.05078125,-33.8375015,-9999.0
2020-05-10,0.125,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-20.8999996,-9999.0
2020-05-11,0.669999957,5.9749999,-9999.0,-1.267651e+30,-9999.0,4.70703125,-22.9937496,-0.712499976
2020-05-12,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-25.6187496,15.2875004
2020-05-13,0.0,-9999.0,-9999.0,0.885299981,-9999.0,-9999.0,-3.0875001,13.7250004
2020-05-14,2.40499997,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-19.5249996,15.0375004
2020-05-15,19.0550003,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-22.8999996,5.9749999
2020-05-16,0.340000004,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,1.35000002,26.7250004
2020-05-17,0.754999995,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-25.2124996,25.6625004
2020-05-18,10.2900009,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-11.5874996,-9999.0
2020-05-19,0.239999995,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,-38.0250015,16.5375004
2020-05-20,0.0,-9999.0,-9999.0,0.886699975,-9999.0,-9999.0,1.47500002,26.9750004
2020-05-21,0.0,20.5375004,-9999.0,-1.267651e+30,-9999.0,3.88671875,-16.8374996,22.3500004
2020-05-22,0.0,-9999.0,-9999.0,0.891499996,-9999.0,-9999.0,-9999.0,-9999.0
2020-05-23,11.4899988,15.4125004,76.0,0.920099974,8.5390625,8.890625,-5.9000001,25.0375004
2020-05-24,0.0,-9999.0,-9999.0,0.936999977,-9999.0,-9999.0,-8.46249962,21.6625004
2020-05-25,13.3199987,-9999.0,-9999.0,0.939800024,-9999.0,-9999.0,-6.4000001,23.2875004
2020-05-26,0.0,-9999.0,-9999.0,-1.267651e+30,-9999.0,-9999.0,18.3500004,37.3499985
