time, AIRS3STD_7_0_H2O_MMR_Surf_A
2021-07-25,11.84375
2021-07-26,10.0859375
2021-07-27,-9999.0
2021-07-28,-9999.0
2021-07-29,-9999.0
2021-07-30,8.5546875
2021-07-31,7.98828125
2021-08-01,-9999.0
2021-08-02,7.8359375
2021-08-03,10.421875
2021-08-04,9.828125
2021-08-05,12.03125
2021-08-06,11.28125
2021-08-07,13.9453125
2021-08-08,14.234375
2021-08-09,14.4375
2021-08-10,17.09375
2021-08-11,16.109375
2021-08-12,-9999.0
2021-08-13,-9999.0
2021-08-14,10.25
2021-08-15,9.234375
2021-08-16,11.7265625
2021-08-17,16.90625
2021-08-18,-9999.0
2021-08-19,13.75
2021-08-20,13.5625
2021-08-21,16.015625
2021-08-22,15.59375
2021-08-23,15.453125
2021-08-24,12.1015625
2021-08-25,15.90625
2021-08-26,16.5625
2021-08-27,14.578125
2021-08-28,15.859375
2021-08-29,-9999.0
2021-08-30,12.8828125
2021-08-31,11.296875
2021-09-01,-9999.0
2021-09-02,-9999.0
2021-09-03,9.0234375
2021-09-04,10.046875
2021-09-05,-9999.0
2021-09-06,9.546875
2021-09-07,9.6015625
2021-09-08,10.6171875
2021-09-09,9.1015625
2021-09-10,7.84375
2021-09-11,10.015625
2021-09-12,-9999.0
2021-09-13,10.2265625
2021-09-14,-9999.0
2021-09-15,-9999.0
2021-09-16,8.8828125
2021-09-17,13.6875
2021-09-18,10.7578125
2021-09-19,7.96484375
2021-09-20,10.859375
2021-09-21,-9999.0
2021-09-22,-9999.0
2021-09-23,-9999.0
2021-09-24,8.53125
2021-09-25,7.625
2021-09-26,7.28125
2021-09-27,10.390625
2021-09-28,7.28125
2021-09-29,8.0546875
2021-09-30,-9999.0
2021-10-01,7.68359375
2021-10-02,10.625
2021-10-03,11.5859375
2021-10-04,9.5546875
2021-10-05,10.3671875
2021-10-06,10.0
2021-10-07,-9999.0
2021-10-08,10.234375
2021-10-09,-9999.0
2021-10-10,11.203125
2021-10-11,11.390625
2021-10-12,11.9921875
2021-10-13,10.6328125
2021-10-14,11.828125
2021-10-15,10.265625
2021-10-16,-9999.0
2021-10-17,5.76953125
2021-10-18,-9999.0
2021-10-19,7.3828125
2021-10-20,8.203125
2021-10-21,7.83203125
2021-10-22,-9999.0
2021-10-23,-9999.0
2021-10-24,6.44921875
2021-10-25,8.9453125
2021-10-26,-9999.0
2021-10-27,7.09765625
2021-10-28,7.6796875
2021-10-29,7.59765625
2021-10-30,-9999.0
2021-10-31,-9999.0
2021-11-01,-9999.0
2021-11-02,4.31640625
