time, OMAERUVd_003_FinalAerosolSingleScattAlb500
2021-02-09,-1.267651e+30
2021-02-10,-1.267651e+30
2021-02-11,-1.267651e+30
2021-02-12,-1.267651e+30
2021-02-13,-1.267651e+30
2021-02-14,-1.267651e+30
2021-02-15,-1.267651e+30
2021-02-16,-1.267651e+30
2021-02-17,-1.267651e+30
2021-02-18,-1.267651e+30
2021-02-19,-1.267651e+30
2021-02-20,-1.267651e+30
2021-02-21,-1.267651e+30
2021-02-22,-1.267651e+30
2021-02-23,-1.267651e+30
2021-02-24,-1.267651e+30
2021-02-25,-1.267651e+30
2021-02-26,-1.267651e+30
2021-02-27,-1.267651e+30
2021-02-28,-1.267651e+30
2021-03-01,-1.267651e+30
2021-03-02,0.971899986
2021-03-03,-1.267651e+30
2021-03-04,0.93599999
2021-03-05,-1.267651e+30
2021-03-06,-1.267651e+30
2021-03-07,0.964999974
2021-03-08,-1.267651e+30
2021-03-09,0.97329998
2021-03-10,-1.267651e+30
2021-03-11,-1.267651e+30
2021-03-12,-1.267651e+30
2021-03-13,0.914399981
2021-03-14,-1.267651e+30
2021-03-15,0.945900023
2021-03-16,-1.267651e+30
2021-03-17,-1.267651e+30
2021-03-18,-1.267651e+30
2021-03-19,-1.267651e+30
2021-03-20,0.904699981
2021-03-21,-1.267651e+30
2021-03-22,0.913800001
2021-03-23,-1.267651e+30
2021-03-24,-1.267651e+30
2021-03-25,0.960900009
2021-03-26,-1.267651e+30
2021-03-27,0.917500019
2021-03-28,-1.267651e+30
2021-03-29,0.941600025
2021-03-30,-1.267651e+30
2021-03-31,-1.267651e+30
2021-04-01,-1.267651e+30
2021-04-02,0.901899993
2021-04-03,0.957599998
2021-04-04,-1.267651e+30
2021-04-05,0.945100009
2021-04-06,-1.267651e+30
2021-04-07,0.910099983
2021-04-08,0.877600014
2021-04-09,-1.267651e+30
2021-04-10,0.956200004
2021-04-11,-1.267651e+30
2021-04-12,-1.267651e+30
2021-04-13,-1.267651e+30
2021-04-14,0.933899999
2021-04-15,-1.267651e+30
2021-04-16,-1.267651e+30
2021-04-17,-1.267651e+30
2021-04-18,0.930100024
2021-04-19,0.944400012
2021-04-20,-1.267651e+30
2021-04-21,-1.267651e+30
2021-04-22,-1.267651e+30
2021-04-23,0.909699976
2021-04-24,0.939499974
2021-04-25,-1.267651e+30
2021-04-26,0.905600011
2021-04-27,-1.267651e+30
2021-04-28,-1.267651e+30
2021-04-29,-1.267651e+30
2021-04-30,-1.267651e+30
2021-05-01,-1.267651e+30
2021-05-02,-1.267651e+30
