sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,albedo_500,cloud_temp,surf_temp
26.7875004,15.4296875,0.644999981,-1.267651e+30,-8.58749962,24.7250004
26.7875004,15.4296875,0.0,0.91170001,-12.5249996,16.6625004
26.7875004,15.4296875,0.0,-1.267651e+30,-6.2125001,19.4750004
26.7875004,15.4296875,0.0,-1.267651e+30,-5.6500001,14.9750004
20.9750004,6.796875,0.0,-1.267651e+30,-2.0875001,25.0375004
20.9750004,6.796875,0.0,0.899299979,17.6000004,24.4125004
20.9750004,6.796875,0.0,0.92839998,8.10000038,23.9125004
26.4125004,9.8359375,0.920000017,0.878199995,7.2249999,29.6625004
23.6625004,11.484375,0.0,0.917100012,14.4750004,26.2250004
26.4750004,12.828125,0.479999989,-1.267651e+30,19.1000004,31.4750004
26.4750004,12.828125,0.0,0.956399977,21.4750004,28.2875004
27.6625004,12.390625,2.45500016,-1.267651e+30,-19.0562496,36.9749985
27.6625004,12.390625,0.504999995,-1.267651e+30,-19.0562496,36.9749985
16.2250004,9.4765625,9.47000027,0.930100024,-1.02499998,25.7875004
16.2250004,9.4765625,2.75500011,0.93690002,4.4749999,24.7250004
22.8500004,8.46875,0.275000006,0.917699993,7.7874999,26.1000004
20.1000004,13.4921875,20.0299969,-1.267651e+30,10.8500004,24.2875004
21.7250004,13.0546875,8.60499954,0.970799983,1.72500002,23.6625004
21.7250004,13.0546875,0.0,-1.267651e+30,-12.5874996,27.7875004
21.7250004,13.0546875,0.61500001,-1.267651e+30,-7.7125001,14.6000004
21.7250004,13.0546875,0.0,-1.267651e+30,-7.7125001,14.6000004
21.7250004,13.0546875,0.0,-1.267651e+30,0.787500024,26.7250004
21.7250004,13.0546875,0.0899999961,0.959999979,-0.524999976,27.9125004
24.2875004,8.0625,0.0,0.913699985,22.4750004,29.2250004
26.2875004,12.96875,0.0,0.956700027,-19.4624996,29.7250004
25.9750004,13.484375,0.129999995,-1.267651e+30,13.7875004,30.9125004
26.6625004,15.96875,0.0,-1.267651e+30,9.10000038,28.6625004
