time,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_air_temp,relative_humidity,cloud_temp,H2O_vapor_mass_ratio,surf_temp,albedo_500
2020-05-28,-9999.0,0.599999964,-9999.0,-9999.0,-21.1187496,-9999.0,14.3500004,-1.267651e+30
2020-05-29,-9999.0,12.8899984,-9999.0,-9999.0,-28.8062496,-9999.0,24.9750004,-1.267651e+30
2020-05-30,-9999.0,1.17499995,-9999.0,-9999.0,-11.6499996,-9999.0,24.2250004,-1.267651e+30
2020-05-31,-9999.0,0.0,-9999.0,-9999.0,-20.4937496,-9999.0,9.16250038,-1.267651e+30
2020-06-01,-9999.0,0.0,-9999.0,-9999.0,-13.5249996,-9999.0,15.6625004,-1.267651e+30
2020-06-02,-9999.0,1.00999999,-9999.0,-9999.0,3.0999999,-9999.0,-9999.0,-1.267651e+30
2020-06-03,-9999.0,5.49999952,-9999.0,-9999.0,-14.8999996,-9999.0,26.1000004,-1.267651e+30
2020-06-04,9.40625,0.0,24.2250004,-9999.0,-11.0249996,-9999.0,26.5375004,-1.267651e+30
2020-06-05,-9999.0,1.74499989,-9999.0,-9999.0,-9.89999962,-9999.0,28.6625004,0.945599973
2020-06-06,-9999.0,0.0,-9999.0,-9999.0,-3.9000001,-9999.0,23.6625004,-1.267651e+30
2020-06-07,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.904999971
2020-06-08,8.1328125,0.125,15.4125004,77.0,-40.5562515,7.8828125,18.6000004,0.921199977
2020-06-09,13.03125,0.0,22.9125004,95.0,5.2874999,14.1875,28.3500004,0.980000019
2020-06-10,15.4296875,0.0599999987,26.7875004,-9999.0,7.2249999,-9999.0,26.9750004,0.94690001
2020-06-11,-9999.0,0.444999993,-9999.0,-9999.0,-8.58749962,-9999.0,24.7250004,-1.267651e+30
2020-06-12,-9999.0,0.0,-9999.0,-9999.0,-12.5249996,-9999.0,16.6625004,0.91170001
2020-06-13,-9999.0,0.0,-9999.0,-9999.0,-6.2125001,-9999.0,19.4750004,-1.267651e+30
2020-06-14,-9999.0,0.0,-9999.0,-9999.0,-5.6500001,-9999.0,14.9750004,-1.267651e+30
2020-06-15,6.796875,0.0,20.9750004,42.5,-2.0875001,6.71484375,25.0375004,-1.267651e+30
2020-06-16,-9999.0,0.0,-9999.0,-9999.0,17.6000004,-9999.0,24.4125004,0.899299979
2020-06-17,-9999.0,0.0,-9999.0,-9999.0,8.10000038,-9999.0,23.9125004,0.92839998
2020-06-18,9.8359375,2.16999984,26.4125004,-9999.0,7.2249999,-9999.0,29.6625004,0.878199995
2020-06-19,11.484375,0.140000001,23.6625004,-9999.0,14.4750004,-9999.0,26.2250004,0.917100012
2020-06-20,12.828125,1.79000008,26.4750004,-9999.0,19.1000004,-9999.0,31.4750004,-1.267651e+30
2020-06-21,-9999.0,0.0,-9999.0,-9999.0,21.4750004,-9999.0,28.2875004,0.956399977
2020-06-22,12.390625,2.7249999,27.6625004,-9999.0,-19.0562496,-9999.0,36.9749985,-1.267651e+30
2020-06-23,-9999.0,0.774999976,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-06-24,9.4765625,4.57000017,16.2250004,-9999.0,-1.02499998,-9999.0,25.7875004,0.930100024
2020-06-25,-9999.0,1.91999996,-9999.0,-9999.0,4.4749999,-9999.0,24.7250004,0.93690002
2020-06-26,8.46875,0.149999991,22.8500004,70.0,7.7874999,10.421875,26.1000004,0.917699993
2020-06-27,13.4921875,20.8249969,20.1000004,-9999.0,10.8500004,-9999.0,24.2875004,-1.267651e+30
2020-06-28,13.0546875,7.47000027,21.7250004,-9999.0,1.72500002,-9999.0,23.6625004,0.970799983
2020-06-29,-9999.0,0.0,-9999.0,-9999.0,-12.5874996,-9999.0,27.7875004,-1.267651e+30
2020-06-30,-9999.0,1.51499999,-9999.0,-9999.0,-7.7125001,-9999.0,14.6000004,-1.267651e+30
2020-07-01,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-07-02,-9999.0,0.0749999955,-9999.0,-9999.0,0.787500024,-9999.0,26.7250004,-1.267651e+30
2020-07-03,-9999.0,0.0,-9999.0,-9999.0,-0.524999976,-9999.0,27.9125004,0.959999979
2020-07-04,8.0625,0.0,24.2875004,-9999.0,22.4750004,-9999.0,29.2250004,0.913699985
2020-07-05,12.96875,0.0,26.2875004,75.0,-19.4624996,15.4609375,29.7250004,0.956700027
2020-07-06,13.484375,0.139999986,25.9750004,69.5,13.7875004,14.71875,30.9125004,-1.267651e+30
2020-07-07,15.96875,0.0,26.6625004,78.5,9.10000038,17.8125,28.6625004,-1.267651e+30
2020-07-08,15.390625,0.0,27.4750004,84.0,1.91250002,16.140625,30.7250004,-1.267651e+30
2020-07-09,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.983299971
2020-07-10,16.03125,0.675000012,27.9750004,-9999.0,-41.1500015,-9999.0,27.2250004,0.948899984
2020-07-11,15.5859375,29.9799995,24.2250004,-9999.0,-23.9624996,-9999.0,26.2875004,-1.267651e+30
2020-07-12,11.875,32.9649963,21.7875004,-9999.0,-19.8687496,-9999.0,25.6625004,0.948899984
2020-07-13,-9999.0,0.479999989,-9999.0,-9999.0,-8.52499962,-9999.0,22.3500004,-1.267651e+30
2020-07-14,12.0859375,0.0,22.2875004,69.5,6.2249999,11.859375,25.2250004,0.975700021
2020-07-15,-9999.0,0.0,-9999.0,-9999.0,-30.0249996,-9999.0,28.6625004,-1.267651e+30
2020-07-16,-9999.0,20.2149982,-9999.0,-9999.0,-36.9000015,-9999.0,-9999.0,-1.267651e+30
2020-07-17,12.9609375,11.7649994,23.1000004,75.0,17.2875004,13.3125,26.5375004,-1.267651e+30
2020-07-18,-9999.0,0.0,-9999.0,-9999.0,-61.4312515,-9999.0,24.8500004,0.96509999
2020-07-19,16.390625,2.00499988,29.0375004,-9999.0,-50.2750015,-9999.0,31.7250004,-1.267651e+30
2020-07-20,13.671875,0.0850000009,23.4750004,78.5,-9.96249962,14.5390625,26.7250004,0.920400023
2020-07-21,11.421875,0.199999988,22.9125004,-9999.0,-16.7124996,-9999.0,27.6625004,-1.267651e+30
2020-07-22,-9999.0,6.60000038,-9999.0,-9999.0,-20.9624996,-9999.0,22.1625004,-1.267651e+30
2020-07-23,-9999.0,0.0199999996,-9999.0,-9999.0,12.8500004,-9999.0,25.6625004,0.982800007
2020-07-24,12.40625,0.0,24.6625004,69.5,16.4125004,13.125,27.4750004,-1.267651e+30
2020-07-25,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.929199994
2020-07-26,16.609375,0.0,23.6625004,87.0,-18.2124996,16.484375,28.4750004,0.934599996
2020-07-27,17.65625,0.264999986,27.9125004,-9999.0,-9.02499962,-9999.0,29.1625004,-1.267651e+30
2020-07-28,9.421875,12.9300003,22.8500004,-9999.0,-16.0874996,-9999.0,28.3500004,0.902800024
2020-07-29,13.8046875,6.56499958,24.4125004,77.5,-9.89999962,15.5078125,26.5375004,-1.267651e+30
2020-07-30,11.0,0.00499999989,22.7875004,67.0,-19.2124996,11.8203125,26.7250004,0.929400027
2020-07-31,11.1484375,0.0,23.7875004,-9999.0,-8.39999962,-9999.0,28.2250004,-1.267651e+30
2020-08-01,10.7578125,0.0,24.5375004,-9999.0,-37.9312515,-9999.0,26.7875004,0.956700027
2020-08-02,15.90625,5.35999966,24.6000004,-9999.0,7.2874999,-9999.0,27.3500004,-1.267651e+30
2020-08-03,12.5546875,0.0,21.8500004,-9999.0,-12.5249996,-9999.0,25.4750004,-1.267651e+30
2020-08-04,-9999.0,60.3399963,-9999.0,-9999.0,-43.3687515,-9999.0,-9999.0,-1.267651e+30
2020-08-05,9.8046875,0.0,19.2250004,73.0,-2.6500001,10.0703125,24.4125004,-1.267651e+30
2020-08-06,9.4140625,0.0,19.6000004,68.5,-18.9312496,9.4140625,25.1625004,0.910600007
2020-08-07,12.7890625,0.0,21.8500004,79.0,0.912500024,12.7734375,26.5375004,-1.267651e+30
2020-08-08,12.546875,0.0,23.4750004,67.5,4.4749999,12.3828125,26.8500004,-1.267651e+30
2020-08-09,12.8515625,0.0,26.5375004,-9999.0,5.2874999,-9999.0,26.0375004,-1.267651e+30
2020-08-10,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-08-11,16.234375,3.55999994,25.2875004,85.0,-11.8374996,16.9375,26.5375004,-1.267651e+30
2020-08-12,11.6640625,0.0,23.6625004,70.5,-44.4312515,12.1171875,28.1000004,0.944400012
2020-08-13,13.2265625,0.0,24.9125004,70.0,-1.46249998,14.015625,28.9750004,0.950999975
2020-08-14,12.28125,0.0,24.6000004,65.5,11.3500004,12.765625,28.4125004,0.935100019
2020-08-15,-9999.0,0.159999996,-9999.0,-9999.0,-6.2750001,-9999.0,28.7875004,-1.267651e+30
2020-08-16,-9999.0,0.329999983,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-08-17,,0.570000052,,,,,,0.963199973
2020-08-18,,1.88499975,,,,,,-1.267651e+30
2020-08-19,,0.0,,,,,,0.908699989
2020-08-20,,0.0,,,,,,0.907800019
2020-08-21,,0.0,,,,,,-1.267651e+30
2020-08-22,,0.0,,,,,,0.91900003
2020-08-23,,0.0,,,,,,-1.267651e+30
2020-08-24,,0.0,,,,,,-1.267651e+30
2020-08-25,,22.8500023,,,,,,-1.267651e+30
2020-08-26,,0.0,,,,,,0.925499976
2020-08-27,,27.0349998,,,,,,-1.267651e+30
2020-08-28,,0.0,,,,,,-1.267651e+30
2020-08-29,,6.43000031,,,,,,-1.267651e+30
2020-08-30,,0.0,,,,,,-1.267651e+30
2020-08-31,,0.0,,,,,,0.925599992
2020-09-01,,0.0,,,,,,-1.267651e+30
2020-09-02,-9999.0,5.68999958,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.267651e+30
2020-09-03,11.59375,0.199999988,20.2250004,-9999.0,-39.8375015,-9999.0,23.9750004,-1.267651e+30
2020-09-04,7.546875,0.0,17.7875004,67.0,-32.9000015,8.109375,22.9125004,0.927600026
2020-09-05,8.859375,0.61500001,17.1000004,78.0,-14.9624996,9.5625,22.2875004,0.930199981
2020-09-06,8.25,0.105000004,18.4750004,63.25,-28.1499996,8.3046875,22.8500004,-1.267651e+30
2020-09-07,13.9609375,1.99000001,20.0375004,92.0,-51.6812515,13.9375,24.6000004,-1.267651e+30
2020-09-08,14.015625,0.0,23.6625004,81.5,-34.5250015,14.171875,24.8500004,-1.267651e+30
