time, AIRS3STD_7_0_SurfSkinTemp_A
2020-12-30,3.1624999
2020-12-31,8.78750038
2021-01-01,-9999.0
2021-01-02,1.91250002
2021-01-03,-12.5874996
2021-01-04,-5.9000001
2021-01-05,-10.6499996
2021-01-06,-3.9000001
2021-01-07,-10.9624996
2021-01-08,-4.7125001
2021-01-09,2.0374999
2021-01-10,-6.2750001
2021-01-11,-5.3375001
2021-01-12,-14.5249996
2021-01-13,-10.7124996
2021-01-14,-9999.0
2021-01-15,9.41250038
2021-01-16,-4.2750001
2021-01-17,-9999.0
2021-01-18,-4.5250001
2021-01-19,-4.4625001
2021-01-20,-0.275000006
2021-01-21,-9999.0
2021-01-22,-9999.0
2021-01-23,1.72500002
2021-01-24,-6.0875001
2021-01-25,0.912500024
2021-01-26,-9999.0
2021-01-27,2.5374999
2021-01-28,0.600000024
2021-01-29,-3.9625001
2021-01-30,-2.9000001
2021-01-31,-7.9625001
2021-02-01,-1.21249998
2021-02-02,-9999.0
2021-02-03,-5.2750001
2021-02-04,1.53750002
2021-02-05,3.0999999
2021-02-06,-3.2750001
2021-02-07,-9999.0
2021-02-08,-4.6500001
2021-02-09,-2.0875001
2021-02-10,-2.3375001
2021-02-11,-1.27499998
2021-02-12,-11.2124996
2021-02-13,-9999.0
2021-02-14,-5.6500001
2021-02-15,-0.400000006
2021-02-16,-3.4625001
2021-02-17,-3.4000001
2021-02-18,-9999.0
2021-02-19,-9.58749962
2021-02-20,0.662500024
2021-02-21,-0.0874999985
2021-02-22,-9999.0
2021-02-23,-13.0874996
2021-02-24,3.4749999
2021-02-25,3.0999999
2021-02-26,1.97500002
2021-02-27,-9999.0
2021-02-28,-9999.0
2021-03-01,0.349999994
2021-03-02,-3.2125001
2021-03-03,3.2874999
2021-03-04,0.787500024
2021-03-05,1.03750002
2021-03-06,-9999.0
2021-03-07,-0.0250000004
2021-03-08,5.0999999
2021-03-09,4.6624999
2021-03-10,10.7250004
2021-03-11,13.1625004
