time, AIRS3STD_7_0_CloudTopTemp_A
2020-11-06,-13.2749996
2020-11-07,-36.8687515
2020-11-08,12.5375004
2020-11-09,-21.3374996
2020-11-10,-23.3999996
2020-11-11,-23.2749996
2020-11-12,-32.0875015
2020-11-13,-14.0874996
2020-11-14,-9999.0
2020-11-15,-27.2749996
2020-11-16,-11.7749996
2020-11-17,-26.0874996
2020-11-18,-12.5874996
2020-11-19,-43.6812515
2020-11-20,-21.7437496
2020-11-21,-15.8999996
2020-11-22,-28.3999996
2020-11-23,-17.9937496
2020-11-24,-9.14999962
2020-11-25,-42.6500015
2020-11-26,-5.9000001
2020-11-27,-24.1812496
2020-11-28,-8.02499962
2020-11-29,-16.9624996
2020-11-30,-9999.0
2020-12-01,-19.1187496
2020-12-02,-20.9937496
2020-12-03,-16.6499996
2020-12-04,-32.0250015
2020-12-05,-9.89999962
2020-12-06,-10.2124996
2020-12-07,-8.21249962
2020-12-08,-8.21249962
2020-12-09,-16.3374996
2020-12-10,-5.0250001
2020-12-11,-39.1187515
2020-12-12,-23.8374996
2020-12-13,-9.71249962
2020-12-14,-23.3062496
2020-12-15,-23.8999996
2020-12-16,-9999.0
2020-12-17,-15.3374996
2020-12-18,-2.2750001
2020-12-19,-32.4000015
2020-12-20,-23.8062496
2020-12-21,-11.7749996
2020-12-22,-13.2749996
2020-12-23,-39.4000015
2020-12-24,-48.0875015
2020-12-25,-39.0875015
2020-12-26,-25.5874996
2020-12-27,-28.7437496
2020-12-28,-9.64999962
2020-12-29,-14.0874996
2020-12-30,-42.9625015
2020-12-31,-33.4312515
2021-01-01,-9999.0
2021-01-02,-4.5250001
2021-01-03,-30.2437496
2021-01-04,-9999.0
2021-01-05,-14.9624996
2021-01-06,-13.5249996
2021-01-07,-9999.0
2021-01-08,-9999.0
2021-01-09,-29.3687496
2021-01-10,-12.2124996
2021-01-11,-17.3374996
2021-01-12,-17.3999996
2021-01-13,-17.9624996
2021-01-14,-9.33749962
2021-01-15,-50.1812515
2021-01-16,-26.4624996
2021-01-17,-9999.0
2021-01-18,-16.8999996
2021-01-19,-26.3062496
2021-01-20,-16.7124996
2021-01-21,-15.8374996
2021-01-22,-31.3687496
2021-01-23,-16.7124996
2021-01-24,-24.5249996
2021-01-25,-16.8999996
2021-01-26,-19.1187496
2021-01-27,-12.7124996
2021-01-28,-18.4937496
2021-01-29,-20.8062496
2021-01-30,-12.0249996
2021-01-31,-42.2750015
2021-02-01,-16.0249996
2021-02-02,-9999.0
2021-02-03,-31.2749996
2021-02-04,-9999.0
2021-02-05,-11.5874996
2021-02-06,-20.1187496
2021-02-07,-23.7749996
2021-02-08,-17.8999996
2021-02-09,-21.8062496
2021-02-10,-20.3687496
2021-02-11,-16.9624996
2021-02-12,-19.7749996
2021-02-13,-34.5250015
2021-02-14,-14.4624996
2021-02-15,-8.89999962
2021-02-16,-12.6499996
2021-02-17,-14.7124996
2021-02-18,-9999.0
2021-02-19,-13.2124996
2021-02-20,-19.2749996
2021-02-21,-12.3999996
2021-02-22,-25.9312496
2021-02-23,-30.2124996
2021-02-24,-34.7750015
2021-02-25,-17.7749996
2021-02-26,-18.9937496
2021-02-27,-7.0250001
2021-02-28,-49.9937515
2021-03-01,-24.8687496
2021-03-02,-16.3374996
2021-03-03,-10.6499996
2021-03-04,-24.9624996
2021-03-05,-11.4624996
2021-03-06,-9999.0
2021-03-07,-23.5562496
2021-03-08,-18.4312496
2021-03-09,-6.8375001
2021-03-10,-21.8374996
2021-03-11,-38.1500015
2021-03-12,-7.2750001
2021-03-13,-9999.0
2021-03-14,-19.8062496
2021-03-15,-9.83749962
2021-03-16,-21.8062496
2021-03-17,-6.0875001
2021-03-18,-40.6500015
2021-03-19,-14.4624996
2021-03-20,-24.8687496
2021-03-21,5.2249999
2021-03-22,-9999.0
2021-03-23,-48.5250015
2021-03-24,-26.5874996
2021-03-25,-22.4624996
2021-03-26,-15.0249996
2021-03-27,-1.64999998
2021-03-28,-14.7124996
2021-03-29,-15.3999996
2021-03-30,-24.1187496
2021-03-31,-52.3687515
2021-04-01,-18.7124996
2021-04-02,-19.0249996
2021-04-03,-24.0562496
2021-04-04,-11.9624996
2021-04-05,-5.4625001
2021-04-06,-27.1187496
2021-04-07,-9999.0
2021-04-08,-1.64999998
2021-04-09,-17.5562496
2021-04-10,-39.8687515
2021-04-11,-38.7437515
2021-04-12,-15.6499996
2021-04-13,-3.2125001
2021-04-14,2.0374999
2021-04-15,-28.4624996
2021-04-16,-22.5562496
2021-04-17,-6.4625001
2021-04-18,-4.5875001
2021-04-19,-18.5562496
2021-04-20,-14.5249996
2021-04-21,-19.9312496
2021-04-22,-17.0874996
2021-04-23,-9999.0
2021-04-24,-11.4624996
2021-04-25,-5.7125001
2021-04-26,-14.3999996
2021-04-27,-33.4000015
2021-04-28,-50.0250015
2021-04-29,-48.6812515
2021-04-30,-19.9624996
2021-05-01,-21.0874996
2021-05-02,-20.5249996
2021-05-03,-19.5249996
2021-05-04,-6.1500001
2021-05-05,-9999.0
2021-05-06,-29.3374996
2021-05-07,-29.8062496
2021-05-08,-11.5874996
2021-05-09,-9999.0
2021-05-10,-14.7124996
2021-05-11,-17.1499996
2021-05-12,5.0999999
2021-05-13,8.47500038
2021-05-14,4.3499999
2021-05-15,-8.96249962
2021-05-16,-19.6187496
2021-05-17,-4.4625001
2021-05-18,-2.8375001
2021-05-19,-36.9937515
2021-05-20,-19.6187496
2021-05-21,-24.8062496
2021-05-22,-22.4624996
2021-05-23,-2.9000001
2021-05-24,-0.962499976
2021-05-25,-9999.0
2021-05-26,-7.8375001
2021-05-27,-6.7125001
2021-05-28,-38.9625015
2021-05-29,-10.0874996
2021-05-30,-16.2749996
2021-05-31,-6.9625001
2021-06-01,-13.9624996
2021-06-02,-31.3374996
2021-06-03,-46.2125015
2021-06-04,-1.83749998
2021-06-05,-18.6812496
2021-06-06,-25.2437496
2021-06-07,-10.5874996
2021-06-08,-25.0249996
2021-06-09,10.0375004
2021-06-10,-9999.0
2021-06-11,-4.3375001
2021-06-12,-2.2750001
2021-06-13,-12.0874996
2021-06-14,-34.9625015
2021-06-15,-3.4625001
2021-06-16,-5.5250001
2021-06-17,-18.7437496
2021-06-18,-35.7125015
2021-06-19,-7.2125001
2021-06-20,-9.39999962
2021-06-21,-32.9625015
2021-06-22,-38.4000015
2021-06-23,-4.9625001
2021-06-24,4.9749999
2021-06-25,-42.9625015
2021-06-26,-9999.0
2021-06-27,-23.8062496
2021-06-28,15.7250004
2021-06-29,14.0375004
2021-06-30,-34.4625015
2021-07-01,-46.5875015
2021-07-02,-7.6500001
2021-07-03,-21.6499996
2021-07-04,2.2874999
2021-07-05,18.6000004
2021-07-06,-25.8999996
2021-07-07,-15.7124996
2021-07-08,-20.7124996
2021-07-09,-4.0250001
2021-07-10,2.4749999
2021-07-11,-33.6812515
2021-07-12,-9999.0
2021-07-13,-19.6812496
2021-07-14,-0.962499976
2021-07-15,6.5374999
2021-07-16,-23.8687496
2021-07-17,-30.4312496
2021-07-18,-3.5250001
2021-07-19,19.2875004
2021-07-20,3.9124999
2021-07-21,7.7874999
2021-07-22,-19.8062496
2021-07-23,-28.9312496
2021-07-24,-36.4312515
2021-07-25,12.9750004
2021-07-26,2.4749999
2021-07-27,-21.2124996
2021-07-28,-9999.0
2021-07-29,-13.0249996
2021-07-30,3.7249999
2021-07-31,-5.9625001
2021-08-01,-38.4000015
2021-08-02,-40.0250015
2021-08-03,7.4124999
2021-08-04,-24.8687496
2021-08-05,13.2875004
2021-08-06,-39.9312515
2021-08-07,-36.3062515
2021-08-08,-43.5562515
2021-08-09,-10.8374996
2021-08-10,-1.33749998
2021-08-11,-48.7125015
2021-08-12,-25.7124996
2021-08-13,-9999.0
2021-08-14,-4.7125001
2021-08-15,-41.9312515
2021-08-16,-50.1812515
2021-08-17,-34.7750015
2021-08-18,-39.5562515
2021-08-19,-16.2124996
2021-08-20,-37.8687515
2021-08-21,-23.5874996
2021-08-22,-19.7749996
2021-08-23,9.60000038
2021-08-24,4.9749999
2021-08-25,-31.8999996
2021-08-26,-0.150000006
2021-08-27,20.7875004
2021-08-28,-8.89999962
2021-08-29,-9999.0
2021-08-30,-25.3374996
2021-08-31,-39.4625015
2021-09-01,-37.9625015
2021-09-02,2.6624999
2021-09-03,3.4124999
2021-09-04,1.16250002
2021-09-05,0.0375000015
2021-09-06,-1.46249998
2021-09-07,4.8499999
2021-09-08,-17.0874996
2021-09-09,-27.6812496
2021-09-10,-9.33749962
2021-09-11,-1.33749998
2021-09-12,-26.0874996
2021-09-13,-20.0249996
2021-09-14,-9999.0
2021-09-15,-29.9312496
2021-09-16,13.8500004
2021-09-17,11.7250004
2021-09-18,0.787500024
2021-09-19,14.1000004
2021-09-20,-36.5875015
2021-09-21,-41.5562515
2021-09-22,-25.3687496
2021-09-23,-37.4000015
2021-09-24,1.85000002
2021-09-25,-29.0874996
2021-09-26,-5.9000001
2021-09-27,-12.2124996
2021-09-28,-2.5875001
2021-09-29,-1.52499998
2021-09-30,-9999.0
2021-10-01,4.9749999
2021-10-02,-6.0875001
2021-10-03,-12.7124996
2021-10-04,-17.3062496
2021-10-05,7.0374999
2021-10-06,8.72500038
2021-10-07,17.4750004
2021-10-08,-33.9000015
2021-10-09,-33.8375015
2021-10-10,1.66250002
2021-10-11,-37.3375015
2021-10-12,5.7874999
2021-10-13,7.1624999
2021-10-14,-27.6187496
2021-10-15,-15.8374996
2021-10-16,-9999.0
2021-10-17,-18.6499996
2021-10-18,-8.14999962
2021-10-19,4.3499999
2021-10-20,-18.8999996
2021-10-21,-37.4625015
2021-10-22,-15.8999996
2021-10-23,-15.1499996
2021-10-24,-17.1499996
2021-10-25,-21.6499996
2021-10-26,-41.5875015
2021-10-27,-16.0249996
2021-10-28,-30.1187496
2021-10-29,-8.77499962
2021-10-30,-13.4624996
2021-10-31,-11.8374996
2021-11-01,-9999.0
2021-11-02,-13.0249996
2021-11-03,-18.4624996
2021-11-04,-19.0249996
2021-11-05,-12.2124996
2021-11-06,1.72500002
2021-11-07,-4.4625001
2021-11-08,10.1000004
2021-11-09,-9.39999962
2021-11-10,-63.3062515
2021-11-11,-43.1812515
2021-11-12,-10.5874996
2021-11-13,-33.8062515
2021-11-14,-15.8999996
2021-11-15,-17.7437496
2021-11-16,-13.2124996
2021-11-17,-9999.0
2021-11-18,-30.1499996
2021-11-19,-17.2749996
2021-11-20,-34.3062515
2021-11-21,-38.2125015
2021-11-22,-17.1812496
2021-11-23,-15.5874996
2021-11-24,-10.7124996
2021-11-25,-22.7437496
2021-11-26,-23.8374996
2021-11-27,-10.9624996
2021-11-28,-20.5562496
2021-11-29,-10.9624996
2021-11-30,-29.3062496
2021-12-01,-14.5874996
2021-12-02,-9.96249962
2021-12-03,-9999.0
2021-12-04,-16.5249996
2021-12-05,-32.4937515
2021-12-06,-43.2125015
2021-12-07,-33.8062515
2021-12-08,-34.9000015
2021-12-09,-36.4625015
2021-12-10,-27.9937496
2021-12-11,-54.1500015
2021-12-12,-12.9624996
2021-12-13,-10.0874996
2021-12-14,-39.9312515
2021-12-15,-37.2437515
2021-12-16,-42.8375015
2021-12-17,-5.9000001
2021-12-18,-29.5249996
2021-12-19,-9999.0
2021-12-20,-22.5249996
2021-12-21,-7.1500001
2021-12-22,-17.4312496
2021-12-23,-17.3687496
2021-12-24,-23.5874996
2021-12-25,-10.6499996
2021-12-26,-10.1499996
2021-12-27,-14.7749996
2021-12-28,-33.9937515
2021-12-29,-14.7124996
2021-12-30,-11.0874996
2021-12-31,-6.5250001
2022-01-01,-45.3687515
2022-01-02,-15.8999996
2022-01-03,-14.2124996
2022-01-04,-9999.0
2022-01-05,-40.4312515
2022-01-06,-18.4937496
2022-01-07,-17.8687496
2022-01-08,-14.6499996
2022-01-09,-17.1499996
2022-01-10,-24.6812496
2022-01-11,-17.8999996
2022-01-12,-27.7437496
2022-01-13,-21.5874996
2022-01-14,-11.2749996
2022-01-15,-18.3999996
2022-01-16,-9.21249962
