time,sur_air_temp,H2O_vapor_mass_ratio_surf,mean_precipitation_rate,surf_temp,cloud_temp
2020-05-29,15.4125004,8.890625,15.0699997,24.9750004,-28.8062496
2020-05-30,15.4125004,8.890625,1.03499997,24.2250004,-11.6499996
2020-05-31,15.4125004,8.890625,0.0,9.16250038,-20.4937496
2020-06-01,15.4125004,8.890625,0.0,15.6625004,-13.5249996
2020-06-02,15.4125004,8.890625,0.564999998,15.6625004,3.0999999
2020-06-03,15.4125004,8.890625,3.61999989,26.1000004,-14.8999996
2020-06-04,24.2250004,9.40625,0.0,26.5375004,-11.0249996
2020-06-05,24.2250004,9.40625,6.60499954,28.6625004,-9.89999962
2020-06-06,24.2250004,9.40625,0.0,23.6625004,-3.9000001
2020-06-07,24.2250004,9.40625,0.0,23.6625004,-3.9000001
2020-06-08,15.4125004,8.1328125,0.415000021,18.6000004,-40.5562515
2020-06-09,22.9125004,13.03125,0.0,28.3500004,5.2874999
2020-06-10,26.7875004,15.4296875,0.219999999,26.9750004,7.2249999
2020-06-11,26.7875004,15.4296875,1.01999998,24.7250004,-8.58749962
2020-06-12,26.7875004,15.4296875,0.0,16.6625004,-12.5249996
2020-06-13,26.7875004,15.4296875,0.0,19.4750004,-6.2125001
2020-06-14,26.7875004,15.4296875,0.0,14.9750004,-5.6500001
2020-06-15,20.9750004,6.796875,0.0,25.0375004,-2.0875001
2020-06-16,20.9750004,6.796875,0.0,24.4125004,17.6000004
2020-06-17,20.9750004,6.796875,0.0,23.9125004,8.10000038
2020-06-18,26.4125004,9.8359375,7.31000042,29.6625004,7.2249999
2020-06-19,23.6625004,11.484375,0.329999983,26.2250004,14.4750004
2020-06-20,26.4750004,12.828125,0.155000001,31.4750004,19.1000004
2020-06-21,26.4750004,12.828125,0.0,28.2875004,21.4750004
2020-06-22,27.6625004,12.390625,0.899999976,36.9749985,-19.0562496
2020-06-23,27.6625004,12.390625,0.224999994,36.9749985,-19.0562496
2020-06-24,16.2250004,9.4765625,7.41499996,25.7875004,-1.02499998
2020-06-25,16.2250004,9.4765625,2.52499986,24.7250004,4.4749999
2020-06-26,22.8500004,8.46875,0.125,26.1000004,7.7874999
2020-06-27,20.1000004,13.4921875,18.7599983,24.2875004,10.8500004
2020-06-28,21.7250004,13.0546875,7.51499939,23.6625004,1.72500002
2020-06-29,21.7250004,13.0546875,0.0,27.7875004,-12.5874996
2020-06-30,21.7250004,13.0546875,0.0599999987,14.6000004,-7.7125001
2020-07-01,21.7250004,13.0546875,0.204999983,14.6000004,-7.7125001
2020-07-02,21.7250004,13.0546875,0.0,26.7250004,0.787500024
2020-07-03,21.7250004,13.0546875,0.0149999997,27.9125004,-0.524999976
2020-07-04,24.2875004,8.0625,0.0,29.2250004,22.4750004
2020-07-05,26.2875004,12.96875,0.0,29.7250004,-19.4624996
2020-07-06,25.9750004,13.484375,0.13499999,30.9125004,13.7875004
2020-07-07,26.6625004,15.96875,0.0,28.6625004,9.10000038
2020-07-08,27.4750004,15.390625,1.13999999,30.7250004,1.91250002
2020-07-09,27.4750004,15.390625,0.0,30.7250004,1.91250002
2020-07-10,27.9750004,16.03125,0.949999988,27.2250004,-41.1500015
2020-07-11,24.2250004,15.5859375,23.0800018,26.2875004,-23.9624996
2020-07-12,21.7875004,11.875,37.9150009,25.6625004,-19.8687496
2020-07-13,21.7875004,11.875,0.049999997,22.3500004,-8.52499962
2020-07-14,22.2875004,12.0859375,0.0,25.2250004,6.2249999
